days,p_hypo_c,p_hypo_t,p_hyper_c,p_hyper_t,p_hypo_pooled,p_hypo_40,p_hypo_minus30,p_hypo_minus20,p_hypo_minus10,p_hypo_05,p_hypo_10,p_hypo_20,p_hypo_30,p_hypo_50,p_hypo_60,p_hypo_70,p_hypo_80,p_hyper_40,p_hyper_minus30,p_hyper_minus20,p_hyper_minus10,p_hyper_05,p_hyper_10,p_hyper_20,p_hyper_30,p_hyper_50,p_hyper_60,p_hyper_70,p_hyper_80
-1,0.16,0.17,0.45,0.32,0.165,0.107403208,0.242075072,0.211626314,0.186268075,0.155646986,0.147035696,0.13175667,0.118674859,0.097632955,0.089116235,0.081652764,0.075079653,0.37300247,0.518969499,0.494885385,0.471893681,0.439461646,0.429192189,0.409445964,0.390728757,0.356225504,0.340354267,0.325344309,0.31115117
0,0.252,0.2241,0.308,0.2924,0.23805,0.199764911,0.271321515,0.2601135,0.248927483,0.232779924,0.227639194,0.217773427,0.208482062,0.191604501,0.183973789,0.176840987,0.17017255,0.301905641,0.3064473,0.307701526,0.308193224,0.307671334,0.307200938,0.305872301,0.304085401,0.299392214,0.296598185,0.29357077,0.290351736
1,0,0.008318993,0.002770992,0.00684,0.004159497,0.006263679,0.002548227,0.003082392,0.003621032,0.004427645,0.004694677,0.005224539,0.005747797,0.006771771,0.0072719,0.007764062,0.008248362,0.004863816,0.001486028,0.001880612,0.002310099,0.003012157,0.003259921,0.003773679,0.004309247,0.005434785,0.006019767,0.006616582,0.007223249
2,0.002820144,0.005545995,0.003694656,0.00798,0.00418307,0.00581088,0.002792572,0.003270942,0.003735049,0.004400819,0.004614377,0.005029065,0.00542765,0.006179615,0.006534754,0.006877191,0.007207789,0.005978019,0.002160041,0.002646653,0.003159699,0.003969058,0.004247437,0.004814374,0.005392198,0.00656929,0.007163787,0.007759574,0.008354979
3,0.005640288,0.005545995,0.004618321,0.00798,0.005593142,0.006780005,0.004315561,0.004788028,0.005212168,0.005769033,0.005936001,0.006245407,0.006525522,0.007012034,0.00722436,0.007419356,0.007599071,0.006521318,0.003120333,0.003621618,0.004121963,0.00486421,0.005108214,0.005589657,0.006061091,0.006969452,0.007404864,0.007827139,0.008236045
4,0.00705036,0.004159497,0.004618321,0.0057,0.005604928,0.005535054,0.005377404,0.005498488,0.005570067,0.005611669,0.005612598,0.005600185,0.005573007,0.005489332,0.005438113,0.005383117,0.005325651,0.005311333,0.003880558,0.004150729,0.004395995,0.004721436,0.004819462,0.005001028,0.005164518,0.00544279,0.005560117,0.005664464,0.005756903
5,0.008460432,0.005545995,0.003694656,0.00456,0.007003214,0.006913665,0.006721071,0.006871609,0.006960329,0.007011317,0.00701217,0.006996079,0.006961583,0.006856079,0.006791658,0.006722551,0.006650386,0.004249043,0.003104516,0.003320624,0.003516813,0.003777142,0.003855557,0.004000802,0.00413159,0.004354212,0.00444808,0.004531567,0.00460553
6,0.011280576,0.005545995,0.003694656,0.00342,0.008413285,0.0069747,0.009717575,0.009269443,0.008831988,0.008212328,0.00801734,0.007645686,0.007298396,0.006673378,0.006392992,0.006132033,0.005889003,0.003565728,0.003738813,0.003730178,0.003715327,0.003682313,0.003668733,0.003638187,0.00360365,0.003524981,0.003481921,0.003437006,0.003390642
7,0.011280576,0.011091991,0.004618321,0.0057,0.011186283,0.011038359,0.010739853,0.010978873,0.011119164,0.011198558,0.011199266,0.011172307,0.011116018,0.010945321,0.01084143,0.010730111,0.010613964,0.005311333,0.003880558,0.004150729,0.004395995,0.004721436,0.004819462,0.005001028,0.005164518,0.00544279,0.005560117,0.005664464,0.005756903
8,0.011280576,0.011091991,0.005541985,0.00798,0.011186283,0.012120315,0.009722442,0.010316554,0.010797441,0.01135172,0.011500348,0.011753586,0.011957229,0.01225013,0.012352564,0.012432399,0.012493527,0.007001891,0.004214041,0.00467927,0.005121935,0.00574357,0.005939575,0.006315057,0.006668947,0.007314635,0.007607993,0.007882829,0.008140027
9,0.011280576,0.013864989,0.007389313,0.00912,0.012572782,0.012409063,0.012068086,0.012337825,0.01249648,0.012586971,0.012588136,0.012558506,0.01249583,0.012304949,0.012188581,0.012063817,0.011933585,0.008498275,0.006208471,0.006640922,0.007033486,0.007554338,0.007711213,0.008001765,0.00826337,0.008708583,0.008896267,0.009063167,0.009210999
10,0.016920863,0.013864989,0.009236641,0.01368,0.015392926,0.016964204,0.013134826,0.014034277,0.014777881,0.015659495,0.015902102,0.01632404,0.016673944,0.017204917,0.017404336,0.017569221,0.017705134,0.011873124,0.006894022,0.00770882,0.008490032,0.009596791,0.009948135,0.010624452,0.011265907,0.012446964,0.012988471,0.013498818,0.013979269
11,0.019741007,0.013864989,0.009236641,0.01368,0.016802998,0.018511094,0.014342637,0.015323102,0.016133275,0.017093126,0.017357082,0.017815893,0.018196051,0.018772057,0.018987957,0.019166179,0.019312798,0.011873124,0.006894022,0.00770882,0.008490032,0.009596791,0.009948135,0.010624452,0.011265907,0.012446964,0.012988471,0.013498818,0.013979269
12,0.019741007,0.013864989,0.007389313,0.01596,0.016802998,0.023225918,0.011242197,0.013160894,0.015017088,0.017668582,0.018515812,0.020155744,0.021724785,0.024662618,0.02603855,0.027357379,0.028622658,0.011960892,0.004314265,0.005289291,0.006317383,0.007939074,0.008496731,0.009632134,0.010788831,0.013143094,0.014330868,0.015520235,0.016707755
13,0.016920863,0.016637986,0.005541985,0.01254,0.016779425,0.023819525,0.010908507,0.012908829,0.014869852,0.017712716,0.018631014,0.020421717,0.022150938,0.025429193,0.026982153,0.02848087,0.029927907,0.009227594,0.00314118,0.003893957,0.0046966,0.005978627,0.006423529,0.007335207,0.008271542,0.010198936,0.01118162,0.012172147,0.013167432
14,0.014100719,0.022183982,0.007389313,0.0114,0.018142351,0.020465247,0.015097276,0.016284052,0.017289483,0.018519438,0.018867315,0.019485108,0.020012985,0.020853735,0.021188256,0.021476957,0.02172662,0.009737736,0.005371774,0.006066199,0.006739344,0.00770517,0.008014775,0.008614891,0.009189239,0.010260579,0.010758181,0.011231123,0.011680114
15,0.014100719,0.019410984,0.007389313,0.00912,0.016755852,0.016528135,0.016091875,0.016448382,0.016656929,0.016773434,0.016773698,0.016731752,0.01664592,0.016387375,0.016230418,0.016062396,0.0158872,0.008498275,0.006208471,0.006640922,0.007033486,0.007554338,0.007711213,0.008001765,0.00826337,0.008708583,0.008896267,0.009063167,0.009210999
16,0.014100719,0.016637986,0.007389313,0.01026,0.015369353,0.016281792,0.013679943,0.014387204,0.014939909,0.01554586,0.015700474,0.015953034,0.016142676,0.01638023,0.016445845,0.016484923,0.016502521,0.009131294,0.005752097,0.006331293,0.006876758,0.007633541,0.007869907,0.008319621,0.008739654,0.009495887,0.009834813,0.010149459,0.0104412
17,0.014100719,0.016637986,0.007389313,0.01026,0.015369353,0.016281792,0.013679943,0.014387204,0.014939909,0.01554586,0.015700474,0.015953034,0.016142676,0.01638023,0.016445845,0.016484923,0.016502521,0.009131294,0.005752097,0.006331293,0.006876758,0.007633541,0.007869907,0.008319621,0.008739654,0.009495887,0.009834813,0.010149459,0.0104412
18,0.022561151,0.030502975,0.012931298,0.01938,0.026532063,0.029391319,0.022498656,0.024097735,0.025426854,0.027013039,0.027451971,0.028218485,0.02885779,0.029836623,0.030208095,0.030517574,0.030774829,0.016744468,0.009574274,0.010738474,0.011858151,0.013450017,0.01395671,0.014933895,0.015862952,0.01757941,0.018369041,0.01911484,0.019818441
19,0.031021583,0.03604897,0.016625954,0.0228,0.033535276,0.035196864,0.0301244,0.031575508,0.032689025,0.033876051,0.034169876,0.0346366,0.034969885,0.035338978,0.035413236,0.035433183,0.035409651,0.020393013,0.013040053,0.014313248,0.015507717,0.017157311,0.017670628,0.018644622,0.019551013,0.021173921,0.021897061,0.02256574,0.023183204
20,0.042302158,0.038821968,0.018473282,0.0285,0.040562063,0.045609343,0.033810317,0.036451937,0.038680696,0.041390383,0.042152197,0.043498344,0.044639851,0.046433834,0.047135708,0.047733556,0.048242855,0.024352245,0.013413019,0.01515528,0.016843683,0.019264895,0.020040611,0.021543477,0.022980765,0.025658395,0.026900259,0.028079315,0.029197367
21,0.045122302,0.038821968,0.016625954,0.02394,0.041972135,0.045260277,0.036604113,0.038798269,0.040560485,0.042567736,0.043099491,0.043996035,0.044704772,0.045690388,0.046017586,0.046260092,0.046432727,0.021010288,0.012631392,0.014031274,0.015362871,0.017231914,0.017820956,0.018948914,0.020011374,0.021947914,0.022826726,0.023649339,0.024418446
22,0.045122302,0.041594966,0.014778626,0.02622,0.043358634,0.052822213,0.033109539,0.03689599,0.040300584,0.044769145,0.0461066,0.048579229,0.050808299,0.054646024,0.056301672,0.057808294,0.05918256,0.021219487,0.009795613,0.011452765,0.013117599,0.015604673,0.016426348,0.01805301,0.019652369,0.022750543,0.024242665,0.02569378,0.027102488
23,0.045122302,0.047140961,0.012931298,0.02508,0.046131632,0.059077129,0.033331813,0.037928877,0.042191797,0.047986175,0.049767429,0.053121604,0.056217331,0.06172215,0.064171868,0.066443994,0.068554521,0.019606364,0.008087538,0.009663836,0.01128295,0.0137627,0.014597144,0.016270424,0.017942573,0.021255753,0.02288574,0.024492235,0.026071936
24,0.05076259,0.055459954,0.014778626,0.02964,0.053111272,0.069177067,0.037609332,0.043129235,0.048296326,0.05539038,0.057586808,0.061741823,0.065597859,0.072501067,0.07559034,0.078463943,0.081139411,0.022876278,0.009036408,0.010889989,0.012809715,0.0157768,0.016781844,0.018806404,0.020841091,0.024903758,0.026916599,0.028908991,0.030876116
25,0.05076259,0.055459954,0.014778626,0.02622,0.053111272,0.06443922,0.040683445,0.045288844,0.049416516,0.054810755,0.056419138,0.059383851,0.062045333,0.066596912,0.068545882,0.070310082,0.071910356,0.021219487,0.009795613,0.011452765,0.013117599,0.015604673,0.016426348,0.01805301,0.019652369,0.022750543,0.024242665,0.02569378,0.027102488
26,0.039482014,0.041594966,0.012931298,0.02052,0.04053849,0.046262231,0.033252615,0.036068023,0.038476623,0.041456168,0.042306321,0.043825199,0.045133192,0.047239025,0.048085914,0.048821608,0.04946181,0.017339879,0.009223677,0.010491015,0.011728471,0.013518574,0.014095946,0.015219899,0.016301515,0.018334672,0.019286052,0.020194559,0.021061029
27,0.016920863,0.016637986,0.005541985,0.00912,0.016779425,0.019672793,0.013399191,0.01467767,0.015797492,0.017224685,0.017642394,0.01840305,0.019075759,0.020204579,0.02067996,0.021106438,0.02149038,0.007596289,0.003864328,0.004432514,0.004992637,0.005811933,0.006078431,0.006600359,0.007106584,0.008068957,0.008524323,0.008962325,0.009383062
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
