"","nSims","efficacyOR","efficacyPThresh","futilityOR","futilityPThresh","maxN_hypo","maxN_hyper","OR_hypo","OR_hypo","OR_hypo","OR_hypo","OR_hypo","power_hypo","power_hypo","power_hypo","power_hypo","power_hypo","futility_hypo","futility_hypo","futility_hypo","futility_hypo","futility_hypo","OR_hyper","OR_hyper","OR_hyper","OR_hyper","OR_hyper","power_hyper","power_hyper","power_hyper","power_hyper","power_hyper","futility_hyper","futility_hyper","futility_hyper","futility_hyper","futility_hyper"
"1",50,1.1,0.84,1.075,0.78,160,0,1.08153356334732,1.25847415622128,1.43729086803559,1.57255235003723,1.64760052133402,16,18,36,58,52,22,10,6,4,2,1.02823331897413,1.28032136280454,1.46725205986128,1.58121834160502,1.67917063184764,0,0,0,0,0,0,0,0,0,0
"2",50,1.1,0.84,1.075,0.78,248,0,1.08153356334732,1.25847415622128,1.43729086803559,1.57255235003723,1.64760052133402,20,36,56,72,70,26,12,6,6,2,1.02823331897413,1.28032136280454,1.46725205986128,1.58121834160502,1.67917063184764,0,0,0,0,0,0,0,0,0,0
"3",50,1.1,0.84,1.075,0.78,336,144,1.08153356334732,1.25847415622128,1.43729086803559,1.57255235003723,1.64760052133402,24,42,60,78,80,30,12,6,6,2,1.02823331897413,1.28032136280454,1.46725205986128,1.58121834160502,1.67917063184764,8,14,34,46,52,24,12,8,0,0
"4",50,1.1,0.84,1.075,0.78,424,0,1.08153356334732,1.25847415622128,1.43729086803559,1.57255235003723,1.64760052133402,30,44,64,80,88,32,16,6,6,2,1.02823331897413,1.28032136280454,1.46725205986128,1.58121834160502,1.67917063184764,8,14,34,46,52,24,12,8,0,0
"5",50,1.1,0.84,1.075,0.78,514,220,1.08153356334732,1.25847415622128,1.43729086803559,1.57255235003723,1.64760052133402,30,46,70,86,92,34,16,6,6,2,1.02823331897413,1.28032136280454,1.46725205986128,1.58121834160502,1.67917063184764,16,24,48,64,68,32,14,12,0,2
"6",50,1.1,0.84,1.075,0.78,602,0,1.08153356334732,1.25847415622128,1.43729086803559,1.57255235003723,1.64760052133402,34,48,74,86,94,34,16,6,6,2,1.02823331897413,1.28032136280454,1.46725205986128,1.58121834160502,1.67917063184764,16,24,48,64,68,32,14,12,0,2
"7",50,1.1,0.84,1.075,0.78,690,296,1.08153356334732,1.25847415622128,1.43729086803559,1.57255235003723,1.64760052133402,36,52,78,86,98,38,16,6,6,2,1.02823331897413,1.28032136280454,1.46725205986128,1.58121834160502,1.67917063184764,24,34,52,68,78,34,18,14,2,2
"8",50,1.1,0.84,1.075,0.78,778,0,1.08153356334732,1.25847415622128,1.43729086803559,1.57255235003723,1.64760052133402,40,54,78,86,98,38,16,6,6,2,1.02823331897413,1.28032136280454,1.46725205986128,1.58121834160502,1.67917063184764,24,34,52,68,78,34,18,14,2,2
"9",50,1.1,0.84,1.075,0.78,866,370,1.08153356334732,1.25847415622128,1.43729086803559,1.57255235003723,1.64760052133402,40,58,84,88,98,40,16,6,6,2,1.02823331897413,1.28032136280454,1.46725205986128,1.58121834160502,1.67917063184764,28,40,58,74,88,38,18,14,2,2
"10",50,1.1,0.84,1.075,0.78,954,0,1.08153356334732,1.25847415622128,1.43729086803559,1.57255235003723,1.64760052133402,40,60,84,88,98,40,16,6,6,2,1.02823331897413,1.28032136280454,1.46725205986128,1.58121834160502,1.67917063184764,28,40,58,74,88,38,18,14,2,2
"11",50,1.1,0.84,1.075,0.78,1042,446,1.08153356334732,1.25847415622128,1.43729086803559,1.57255235003723,1.64760052133402,40,66,88,92,98,60,32,12,8,2,1.02823331897413,1.28032136280454,1.46725205986128,1.58121834160502,1.67917063184764,28,42,68,82,92,38,18,14,2,2
"12",50,1.1,0.84,1.075,0.78,1130,0,1.08153356334732,1.25847415622128,1.43729086803559,1.57255235003723,1.64760052133402,40,66,88,92,98,60,34,12,8,2,1.02823331897413,1.28032136280454,1.46725205986128,1.58121834160502,1.67917063184764,28,42,68,82,92,38,18,14,2,2
"13",50,1.1,0.84,1.075,0.78,1218,522,1.08153356334732,1.25847415622128,1.43729086803559,1.57255235003723,1.64760052133402,40,66,88,92,98,60,34,12,8,2,1.02823331897413,1.28032136280454,1.46725205986128,1.58121834160502,1.67917063184764,28,42,70,88,94,44,18,14,2,2
"14",50,1.1,0.84,1.075,0.78,1306,0,1.08153356334732,1.25847415622128,1.43729086803559,1.57255235003723,1.64760052133402,40,66,88,92,98,60,34,12,8,2,1.02823331897413,1.28032136280454,1.46725205986128,1.58121834160502,1.67917063184764,28,42,70,88,94,44,18,14,2,2
"15",50,1.1,0.84,1.075,0.78,1396,598,1.08153356334732,1.25847415622128,1.43729086803559,1.57255235003723,1.64760052133402,40,66,88,92,98,60,34,12,8,2,1.02823331897413,1.28032136280454,1.46725205986128,1.58121834160502,1.67917063184764,28,46,72,88,96,44,18,14,2,2
"16",50,1.1,0.84,1.075,0.78,1484,0,1.08153356334732,1.25847415622128,1.43729086803559,1.57255235003723,1.64760052133402,40,66,88,92,98,60,34,12,8,2,1.02823331897413,1.28032136280454,1.46725205986128,1.58121834160502,1.67917063184764,28,46,72,88,96,44,18,14,2,2
"17",50,1.1,0.84,1.075,0.78,1572,674,1.08153356334732,1.25847415622128,1.43729086803559,1.57255235003723,1.64760052133402,40,66,88,92,98,60,34,12,8,2,1.02823331897413,1.28032136280454,1.46725205986128,1.58121834160502,1.67917063184764,32,50,76,90,98,44,18,14,2,2
"18",50,1.1,0.84,1.075,0.78,1660,0,1.08153356334732,1.25847415622128,1.43729086803559,1.57255235003723,1.64760052133402,40,66,88,92,98,60,34,12,8,2,1.02823331897413,1.28032136280454,1.46725205986128,1.58121834160502,1.67917063184764,32,50,76,90,98,44,18,14,2,2
"19",50,1.1,0.84,1.075,0.78,1748,748,1.08153356334732,1.25847415622128,1.43729086803559,1.57255235003723,1.64760052133402,40,66,88,92,98,60,34,12,8,2,1.02823331897413,1.28032136280454,1.46725205986128,1.58121834160502,1.67917063184764,32,54,78,90,98,44,18,14,2,2
"20",50,1.1,0.84,1.075,0.78,1836,0,1.08153356334732,1.25847415622128,1.43729086803559,1.57255235003723,1.64760052133402,40,66,88,92,98,60,34,12,8,2,1.02823331897413,1.28032136280454,1.46725205986128,1.58121834160502,1.67917063184764,32,54,78,90,98,44,18,14,2,2
